y,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22
31.30307692,23.40366544,15.595257,37.54714615,16.80660769,24.77269231,1.497338462,171.3592308,144.7146154,114.2592308,126.8461538,455.7923077,40.33384615,94.96076784,3.818284979,85.53170309,18.62386384,5.561761465,94.6,3.5,84.6,10.66176471,2.941176471
32.52,20.86459052,13.90332007,39.40784286,16.17094286,23.02715714,1.425442857,176.83,143.9114286,119.74,124.5714286,469.92,41.45857143,95.02354176,3.868003143,85.5519763,16.27627203,4.707867999,94.6,3.7,84.4,9.604519774,2.63653484
31.936,21.78828348,14.51883174,40.56912,15.90705,23.27336,1.47049,176.234,146.55,118.956,124.3,449.968,40.694,94.42884154,3.73226735,85.36922551,14.9118463,5.516072107,94.4,3.5,84.9,11.2704918,3.073770492
31.8225,24.31542262,16.20281515,39.06245,16.68824167,23.91700833,1.448125,174.9325,147.9458333,116.71,126.75,447.0525,38.56666667,94.216118,3.762561559,85.26257899,8.591047611,1.908789806,93.8,3.4,84.9,11.55015198,3.343465046
31.38363636,24.64993035,16.42571758,39.96893636,16.01322727,23.56635455,1.483309091,176.13,147.5245455,118.1109091,127.5454545,456.0209091,39.43,94.42738934,3.828536775,85.29359224,13.18455724,3.814884594,93.8,3.8,85,10.52631579,3.110047847
33.72666667,23.62144453,15.74037619,44.30745556,14.78725556,22.0972,1.501611111,175.7411111,149.4722222,118.1922222,119.4444444,447.5511111,40.53111111,94.64356033,3.765387143,85.6044411,12.58291364,2.290487657,94,3.6,84.9,11.71171171,3.603603604
33.06916667,23.71885876,15.80528909,40.27470833,15.687725,23.65700833,1.518858333,173.8441667,146.5583333,116.4025,122.8333333,458.7933333,39.6075,94.53642596,3.75075437,85.39008022,14.34518418,4.328730191,94.2,3.5,84.8,13.08900524,5.497382199
31.40363636,27.73198089,18.47947153,39.11995455,15.9797,23.99221818,1.506272727,176.9190909,149.2227273,119.2363636,127.2727273,445.8781818,38.16636364,94.36407174,3.768572125,85.48825481,13.03394722,3.475245465,94.2,3.7,85,11.21281465,3.890160183
32.461,24.80917377,16.53183097,39.14894,16.21813,24.23436,1.5125,183.254,150.831,125.577,127.9,460.686,38.753,93.71417966,3.645381671,85.25284744,13.59036183,4.916137565,93.7,3.4,84.8,11.73469388,4.591836735
39.05625,22.97778263,15.31146591,38.8470125,16.6712125,24.112025,1.468425,189.1025,151.0925,131.42875,120,485.66875,43.435,94.86790429,3.89386483,85.32012193,12.6765524,3.116592635,93.9,3.8,84.3,10.57934509,2.770780856
31.63818182,25.87852152,17.2444011,38.34485455,16.62993636,24.85123636,1.5238,175.2781818,149.7727273,117.8018182,125.5454545,443.6418182,39.81272727,94.97071738,3.812041635,85.37238583,10.99540972,2.146773035,93.9,3.8,85.7,11.08071135,3.693570451
32.556,23.07198487,15.37423848,33.80187,17.64318,25.51901,1.44832,176.916,148.536,119.878,123.7,444.501,39.653,94.59339433,3.703110416,85.31701015,11.15331322,2.201435342,93.8,3.5,85,11.3452188,3.727714749
32.58545455,23.54739691,15.69103385,41.69273636,15.53436364,22.76250909,1.483181818,179.5818182,151.3545455,121.7590909,125,443.42,41.67272727,94.38771278,3.73791635,85.2854866,11.04235567,2.68626495,94.1,3.6,85,10.49913941,3.098106713
33.448,25.72385471,17.14133739,36.59725,17.15387,24.33731,1.42416,185.903,153.394,128.137,126.3,459.684,41.335,94.10203906,3.582257621,85.02496106,12.18334468,2.063222614,94.1,3.4,84.6,9.964412811,2.016607355
32.742,21.52414311,14.34281927,39.34225,16.34831,24.23412,1.50572,176.563,148.921,118.864,124.2,451.558,41.327,92.97348561,3.385227703,85.49600787,10.22681211,2.025813635,93.2,3.2,84.7,11.5942029,4.025764895
34.656,19.88937708,13.25347724,43.05645,15.38476,22.67728,1.49231,185.682,148.741,128.223,120.6,460.267,42.882,93.14889669,3.666103235,85.06036812,10.86520836,2.570337343,92.5,3.4,83.9,10.70234114,4.347826087
33.28444444,21.07026895,14.04037587,39.04196667,17.60547778,24.45506667,1.397266667,183.7377778,146.8522222,130.2344444,126,474.9388889,42.78555556,94.18632994,3.738506562,85.23568248,9.996215963,2.402920382,92.5,3.6,84.7,11.39240506,3.797468354
